id	Q_chn	open	Q	Time	Interp_chn	A_chn	A	Interp	Primary_id	Alter_id	Day_Stem
29	是否可以顺利通过面试？	0	Is it possible to successfully pass the interview?	壬辰年乙巳月乙亥日	"
卦象显示兄弟午火旺动，克制用神官鬼。
显示竞争激烈，难以通过。"	实际反馈未通过。	The actual feedback was not approved.	The hexagram indicates that the Sibling of the fire of Wu is active and dominant, restraining the useful spirit of the Demons. This shows intense competition, making it difficult to succeed.	30	6	yi
30	爱人何时回家？	1	When will the loved one return home?	丙戌年乙未月丙辰日癸巳时	"
世爻亥水旺象，临日建而动，回归时间应在申月。
世临日辰，生合，显示其愿意回归。"	最终反馈爱人在申月第七天返回。	The final feedback is that the loved one returns on the seventh day of the month of Shen.	The line of the world is vibrant with water in Hai, situated on the day, and moving, with an indication that the time of return is in the month of Shen. The world is situated on the day chen, generating harmony, showing the willingness to return.	13	37	gui
31	失物是否能找回？	0	Will the lost item be recovered?	壬辰年戊午月庚子日	"
用神父母爻临日建而静，失物尚未离家，需细致查找。
财爻在卦象中不显，建议耐心等待消息。"	失物次日被邻居送回，因遗落在门外。	The lost item was returned by the neighbor the next day because it had been left outside the door.	The significator Parents line rests on the day structure and remains inactive, indicating the lost item has not left the home and requires careful searching. The wealth line is not apparent in the hexagram; it is advised to patiently await news.	48	26	geng
32	考试能否顺利通过？	0	Will the examination be successfully passed?	甲午年丁巳月辛酉日	"
子孙爻旺相而化退，显示考试存在一定挑战，但努力可成。
世爻得财爻相生，显示测者有较大希望顺利通过。"	最终反馈成绩合格，通过考试。	The final feedback indicates a passing grade, successfully passing the exam.	The line representing Children is strong and transforms into retreat, indicating that there are certain challenges in the examination, but effort can lead to success. The self line is supported by the line representing Wife and Wealth, showing that the seeker has a substantial hope of passing smoothly.	37	24	xin
33	何时能收到重要文件？	1	When will the important documents be received?	癸巳年甲申月乙亥日	"
文件以父母爻为用神，旺动，且临月日建，显示不久便能收到。
世爻临官鬼，提示需注意相关流程。"	反馈文件于次日午时送达。	The feedback document will be delivered at noon the next day.	The document uses the Parents line as the useful god, which is flourishing and moving, and also aligns with the month and day stems, indicating it will be received soon. The subject line is upon Demons, suggesting attention is needed for the related process.	59	44	yi
34	我和朋友之间的误会能否解决？	0	Can the misunderstanding between my friend and I be resolved?	丙辰年乙未月甲申日癸酉时	"
世爻得日建相生，显示测者意愿强烈。
用神兄弟爻化吉，暗示双方和解可能性较大。"	反馈双方已和解，误会成功解除。	The feedback indicates that both parties have reconciled and the misunderstanding has been successfully resolved.	"The line in question is supported by the day, indicating that the seeker's intentions are strong.  
The signifier Sibling transforms into auspiciousness, suggesting a higher likelihood of reconciliation between both parties."	40	42	gui
35	生意不顺，何时能好转？	1	Business is not going well; when will it improve?	戊辰年壬午月甲子日	"
财爻辰土临世旺动，显示测者近期多劳心，回报不足。
需待月令变动时，财爻得到日建之扶，生意才有转机。"	反馈申月中旬生意开始好转，收入增加。	Business began to improve in mid-month of the Shen period, with an increase in income.	The line of Wife and Wealth in the branch of chen soil is positioned at the center and is active, indicating that the inquirer has been mentally exhausted recently with insufficient returns. There needs to be a change in the monthly order; only when the line of Wife and Wealth receives support from the day's structure will there be a turnaround in business.	28	30	jia
36	孩子学习成绩能否提高？	0	Can the child's academic performance improve?	癸巳年乙未月甲申日	"
子孙爻化吉，显示学业有提升的潜力。
财爻旺相临应，暗示需额外投入资源，才能达到预期目标。"	反馈成绩有所进步，但仍需长期努力。	Feedback indicates some progress, but long-term effort is still needed.	The Children line transforms favorably, indicating the potential for improvement in academic pursuits. The Wife and Wealth line being strong and applicable to the context suggests that additional resources are needed to achieve the desired goals.	9	31	jia
37	是否适合换工作？	0	Is it suitable to change jobs?	辛卯年壬辰月庚寅日	"
官爻旺动克世，显示当前工作压力大且发展受限。
财爻化进神，暗示新工作有更好机会。"	反馈换岗后工作满意，收入稳定增长。	After changing positions, work satisfaction improved and income steadily increased.	The Demons line is strong and moves to counter the self, indicating current work pressure is high and development is limited. The Wife and Wealth line transforms into advancement, suggesting better opportunities in a new job.	35	36	geng
38	合伙投资能否顺利？	0	Can a partnership investment proceed smoothly?	壬辰年甲午月己未日	"
财爻旺而化进神，显示投资项目有稳定回报。
兄弟爻旺动，提醒需注意合伙人的利益协调。"	反馈项目成功，但中途因分红问题产生分歧，后解决。	The feedback project was successful, but disagreements arose midway due to bonus distribution issues, which were later resolved.	The Wife and Wealth line is prosperous and transforms into advancing spirits, indicating that the investment projects have stable returns. The Sibling line is active and flourishing, reminding to pay attention to the interest coordination of partners.	50	48	ji
39	是否能找到合适的租房？	0	Can a suitable rental be found?	庚辰年丙午月乙丑日	"
父母爻旺动，显示租房需求明确。
世爻静而得日扶，暗示适合的租房将有缘分找到。"	反馈最终在酉月找到满意住所。	The feedback ultimately found a satisfactory residence in the month of You.	The Parents line is prospering and moving, indicating a clear need for renting a house. The current line is stable and receives support, suggesting that a suitable rental will serendipitously be found.	39	41	yi
40	远方朋友的货物是否顺利送达？	0	Will the goods from distant friends be delivered smoothly?	癸未年戊申月乙卯日	"
官鬼爻化回头生，显示途中虽有波折，但整体顺利。
世爻静而临旺月，代表测者心态较为平和。"	反馈货物于第二天顺利送达，无损坏。?	The goods were successfully delivered the next day without any damage.	The hexagram of Demons changes and regenerates, indicating that although there are twists and turns along the way, things are generally smooth. The ruling line is quiet and under the auspicious month, representing that the inquirer's mindset is relatively peaceful.	40	57	yi
41	弟弟的官司能否胜诉？	0	Will the younger brother win the lawsuit?	壬辰年甲申月戊戌日	"
官鬼爻旺动克世，显示诉讼有较大难度。
世爻静而化退，代表测者或家人难以掌控局势。"	反馈官司最终和解，未能完全胜诉。	The feedback concluded with the lawsuit being settled, without a complete victory.	The Demons line is strong and active, overcoming the self line, indicating that litigation will be quite difficult. The self line is static and changes to retreat, representing that the querent or family members find it difficult to control the situation.	6	44	wu
42	是否适合近期投资股票？	0	Is it suitable to invest in stocks in the near future?	乙未年壬辰月庚寅日	"
财爻临月建而旺，但受兄弟爻克制，显示市场波动大。
建议观望，不宜急于行动。"	反馈近期投资亏损，决定暂停操作。	Feedback on recent investment losses, deciding to suspend operations.	The Wife and Wealth line is in harmony with the month's establishment and is prosperous but is restrained by the Sibling line, indicating great market fluctuations. It is advised to observe and not rush into action.	29	33	geng
43	母亲身体健康是否有大碍？	0	Is the mother's health seriously impaired?	癸巳年丙午月乙酉日	"
用神父母爻化旺，但遇日破，显示身体有轻微问题。
世爻得月扶，暗示不影响整体健康。"	反馈母亲因腰部不适就诊，恢复较快。?(六爻实战卦100例2)	The feedback reports that the mother sought medical treatment due to discomfort in the waist, and her recovery was relatively quick. 	The primary line of Parents transforms into prosperity, but encountering a day break indicates a slight issue with the body. The self line receiving support from the month suggests there is no impact on overall health.	58	39	yi
44	今年的财运是否顺利？	0	Will the financial luck this year be smooth?	乙未年丙申月壬戌日	"
财爻不现，兄弟爻旺动，显示今年财运压力较大。
需控制支出，避免过度投资。"	反馈年中财运低迷，但年底逐渐改善。?(六爻实战卦100例2)	"
Mid-year financial luck is sluggish, but it gradually improves by the end of the year."	The Wife and Wealth line is not visible, and the Sibling line is vigorous and moving, indicating that financial pressure is quite high this year. You need to control expenses and avoid excessive investments.	12	16	ren
45	能否顺利找到新工作？	0	Can I successfully find a new job?	辛卯年癸未月壬午日	"
官爻旺动，显示求职积极，且有较大机会。
财爻化退，暗示薪资水平可能不及预期。"	反馈找到工作，但起薪低，决定暂时接受。?(六爻实战卦100例2)	Feedback is that a job has been found, but the starting salary is low, so it's decided to accept it temporarily.	The demonic line is prosperous and active, indicating an active job-seeking attitude and a considerable opportunity. The wealth line transforms and retreats, suggesting that the salary level may fall short of expectations.	14	18	ren
46	朋友之间的合作能否继续？	0	Can cooperation between friends continue?	甲申年乙未月庚寅日	"
兄弟爻旺动，与财爻冲克，显示合作中可能存在分歧。
世爻临财爻生扶，显示测者希望继续合作。"	反馈合作暂时搁置，需调整关系后再行动。?(六爻实战卦100例2)	The feedback cooperation is temporarily put on hold, and actions should be taken only after relationships are adjusted.	The Sibling line is prosperous and active, clashing with the Wealth line, indicating potential disagreements in the collaboration. The self line is supported by the Wealth line, showing that the querent hopes to continue the collaboration.	51	20	geng
48	公司能否顺利完成融资？	0	Can the company successfully complete the financing?	丙戌年乙未月丁酉日	"
财爻未土旺动，显示资金需求明确，但兄弟爻化退，表示执行力不足。
世爻静，得月建相生，显示融资进程缓慢但有望达成。"	反馈融资成功，但过程耗时较长，最终符合预期。?(六爻实战卦100例2)	The feedback on the financing was successful, but the process took longer than expected and ultimately met expectations.	The Wife and Wealth line with the soil of Wei is prosperous and moving, indicating a clear demand for funds, but the Sibling line changes to retreat, showing a lack of execution ability. The self line is static, receiving support from the lunar build, indicating that while the financing process is slow, it is hopeful for completion.	43	17	ding
49	家中遗失的贵重物品是否能找到？	1	Can the valuable item lost at home be found?	壬辰年己巳月乙卯日	"
用神伏于世爻，显示物品尚未离家，但隐藏较深。
财爻不现，暗示需仔细回忆最后使用位置。"	反馈最终在车库发现遗失物品。?(六爻实战卦100例2)	The feedback ultimately found the lost item in the garage.	The spirit is hidden in the line of the world, indicating that the item has not yet left home, but is concealed rather deeply. The wealth line does not appear, suggesting that you need to carefully recall the last place it was used.	23	16	yi
50	远方亲戚何时到访？	1	When will distant relatives visit?	癸未年丙午月甲子日	"
世爻静而化退，显示测者焦虑情绪较强。
父母爻临日建动，暗示亲戚路途中稍有耽搁。"	反馈亲戚于申时到访，稍晚于预期。?(六爻实战卦100例2)	The relatives arrived at the time of shen, slightly later than expected.	The line remains static and transforms into retreat, indicating that the inquirer has strong feelings of anxiety. The Parents line, active and under the influence of the day's structure, suggests a slight delay in the relatives' journey.	12	30	jia
51	孩子能否考上理想的学校？	0	Will the child be able to get into his ideal school?	乙未年壬申月甲戌日	"
子孙爻旺动，显示学业基础扎实，有较大希望。
官鬼爻临应爻生世，代表测者对子女学业寄予厚望。"	反馈最终考上目标学校，但成绩略低于预期。?(六爻名家卦例大收集47)	Feedback ultimately admitted to the target school, but the grades were slightly lower than expected.	The Children line is active and flourishing, indicating a solid foundation in academic studies with considerable promise. The Demons line at the responding line generates the host, representing the inquirer's high expectations for their children's academic pursuits.	9	42	jia
52	是否适合近期搬迁？	0	Is it suitable to move in the near future?	甲申年乙未月戊申日	"
用神父母爻化空，显示搬迁时机尚未成熟。
财爻旺相，表示新环境有利于事业发展。"	反馈搬迁后适应良好，但过程稍显繁琐。?(六爻实战卦100例2)	The feedback post-relocation was adapted well, but the process was slightly cumbersome.	The use of the Parents line transforming into emptiness indicates that the timing for relocation is not yet mature. The wealth line is vigorous, indicating that the new environment is beneficial to career development.	40	41	wu
53	是否可以顺利签订合作协议？	0	Is it possible to successfully sign the cooperation agreement?	庚辰年壬午月辛亥日	"
财爻旺动化进，显示合作项目潜力大。
世爻得应爻相助，暗示双方利益一致，合作顺利。"	反馈协议成功签订，合作关系稳定。?(六爻实战卦100例2)	The feedback agreement was successfully signed, establishing a stable cooperative relationship.	The Wife and Wealth line is strong and active, transforming into advance, indicating significant potential in the partnership project. The host line gains assistance from the response line, suggesting mutual benefits and smooth cooperation for both parties.	22	33	xin
55	问儿子工作是否能稳定？	0	Ask whether the son's job will be stable?	壬辰年癸巳月丁酉日	"
官鬼爻旺动，代表工作有一定压力，但总体可控。
世爻静而临旺月，显示测者对儿子工作比较满意。"	反馈儿子工作稳定，但需要努力适应新的环境。?(六爻实战卦100例2)	Feedback on the son's work stability indicates that he needs to work hard to adapt to the new environment.	The Demons line is strong and moving, representing that there is certain pressure at work, but it is generally controllable. The main line is static and in the prosperous month, indicating that the one consulting is relatively satisfied with their son's work.	32	19	ding
56	是否能成功争取到升职机会？	0	Can I successfully strive for a promotion opportunity?	丙辰年甲子月庚午日	"
官鬼爻旺动生世，显示领导对测者有认可。
财爻静而化进，显示升职有希望，但需要耐心。"	反馈升职机会虽有，但因名额限制未能成功。?(六爻实战卦100例2)	Feedback on the promotion opportunity was present, but due to limitations in the quota, it was not successful. (Hexagram Case Study 100 Examples 2)	The Demons line is flourishing and active, generating the self line, indicating that leaders have recognition for the inquirer. The Wife and Wealth line is static and transforms into advancement, showing there is hope for promotion, but patience is required.	11	13	geng
57	家中矛盾是否能化解？	0	Can the conflicts within the family be resolved?	癸未年壬申月乙卯日	"
世爻旺动，显示测者愿意解决问题。
用神兄弟爻化进，显示矛盾源于沟通不足，但可调和。"	反馈家庭问题逐渐缓解，气氛恢复平和。?(六爻实战卦100例2)	Feedback for family issues gradually alleviates, and the atmosphere returns to peace.	The worldly line is strong and active, indicating the querent's willingness to resolve the issue. The significator sibling line transforms into advance, showing that the conflict stems from insufficient communication, but it can be reconciled.	38	37	yi
58	是否能顺利支付房款？	0	Can the payment for the house be made smoothly?	辛卯年癸未月乙酉日	"
财爻旺动且临世爻，显示支付能力充足。
世爻化回头生，暗示测者对后续流程有些担忧，但问题不大。"	反馈房款顺利支付，手续办理无阻。?(六爻实战卦100例2)	Feedback indicates the house payment was smoothly completed, and the procedures were unimpeded.	The Wife and Wealth line is flourishing and active, and it aligns with the World line, indicating sufficient payment ability. The World line transforms to generate itself again, suggesting that the inquirer has some concerns about the subsequent process, but the issue is not significant.	45	44	yi
59	朋友是否会履行承诺？	0	Will friends fulfill their promises?	甲午年壬申月庚戌日	"
用神兄弟爻化退，显示朋友可能因客观原因未能完全履行承诺。
世爻旺而得应爻扶，暗示测者愿意给予更多耐心。"	反馈朋友延迟兑现承诺，但最终如约完成。?(六爻名家卦例大收集47)	Feedback from friends regarding delayed fulfillment of promises, but ultimately completed as promised. (From the collection of well-known hexagram examples 47)	The Sibling line transforms and retreats, indicating that friends may not be able to fully fulfill their promises due to objective reasons. The self line is strong and supported by the response line, suggesting that the querent is willing to show more patience.	20	40	geng
60	今年是否适合买房？	0	Is it appropriate to buy a house this year?	癸巳年甲申月乙未日	"
财爻旺而化吉，显示市场环境适合购房。
世爻静，提示测者需考虑长远计划，避免仓促决策。"	反馈年末购房，房源和价格均较满意。?(六爻实战卦100例2)	Feedback about purchasing a house at the end of the year; both the housing availability and prices are quite satisfactory. (Hexagram Practical Cases 100 Examples 2)	The Wife and Wealth line is prosperous and transforms auspiciously, indicating that the market environment is suitable for buying a house. The World line is stable, suggesting that the inquirer needs to consider long-term plans and avoid hasty decisions.	14	15	yi
61	家中的宠物是否能找回？	0	Can the household pet be found?	甲申年癸未月庚寅日	"
子孙爻旺动，显示宠物尚在附近。
世爻临财爻生扶，暗示测者需积极寻找。"	反馈宠物两天后在邻居家找到。?(六爻实战卦100例2)	The feedback found the pet at the neighbor's house two days later. (One Hundred Practical Examplars of Hexagrams, Case 2)	The line of Children is active and strong, indicating that the pet is still nearby. The self line is supported by the Wife and Wealth line, suggesting that the querent needs to actively search.	18	19	geng
62	是否适合和对方合作？	0	Is it suitable to collaborate with the other party?	辛卯年甲午月乙丑日	"
财爻旺而化进，显示合作具有潜力。
兄弟爻化退，暗示需要明确分工，避免利益冲突。"	反馈合作初期顺利，但中途出现小摩擦，后调整解决。?(六爻实战卦100例2)	Feedback at the initial stage of cooperation was smooth, but some minor friction occurred midway, which was later adjusted and resolved.	"The Wife and Wealth line is prosperous and transforms to advance, indicating the potential for cooperation.  
The Sibling line transforms to withdraw, suggesting the need for a clear division of labor to avoid conflicts of interest."	21	22	yi
63	未来一年财运是否有突破？	0	Will there be a breakthrough in financial fortune in the coming year?	丙戌年壬午月辛未日	"
财爻旺动化进，显示有较好的财运机会。
世爻旺相而生用神，暗示测者在财运突破上需积极努力。"	反馈年初财运一般，年中获得投资回报，收入大增。?(六爻名家卦例大收集47)	The financial fortune at the beginning of the year is average, with investment returns in the middle of the year leading to a significant increase in income.	The wealth line is active and prosperous, transforming and advancing, indicating a relatively good financial opportunity. The situation line is strong and supports the useful spirit, suggesting that the querent needs to actively strive for a breakthrough in financial luck.	34	36	xin
64	是否能与家人和解？	0	Is it possible to reconcile with family?	癸巳年乙未月甲戌日	"
兄弟爻旺动生世，显示家人之间的感情可逐步修复。
世爻得月扶，暗示和解需要时间，但总体可成。"	反馈家庭关系逐渐缓解，双方重新建立信任。?(六爻实战卦100例2)	Feedback on family relationships is gradually easing, and both parties are rebuilding trust.	The Sibling line is flourishing and moves to generate the Self line, which indicates that the emotions among family members can gradually be repaired. The Self line is supported by the moon, suggesting that reconciliation requires time, but overall it is achievable.	37	41	jia
65	是否能顺利完成学业？	0	Is it possible to successfully complete studies?	甲申年壬辰月乙酉日	"
子孙爻旺动，显示测者的学业有扎实的基础。
官鬼爻化回头生，显示学业的关键在于坚持与努力。"	反馈学业顺利完成，并取得优异成绩。?(六爻实战卦100例2)	Feedback indicates the successful completion of studies with excellent results. (Examples of Practical Divination with Six Lines, 100 Cases 2)	The Children line is flourishing and moving, indicating that the seeker's academic pursuits have a solid foundation. The Demons line transforms and returns to life, showing that the key to academic success lies in perseverance and effort.	9	42	yi
66	是否适合近期创业？	0	Is it suitable to start a business in the near future?	乙未年甲午月辛巳日	"
财爻旺动生世，显示创业环境较为有利。
世爻静，提醒测者需要充分准备以降低风险。"	反馈创业成功，但初期遇到一些困难，后续逐步稳定。?(六爻实战卦100例2)	Feedback on starting a business shows success, but initially encountered some difficulties, which gradually stabilized later.	The wealth line is flourishing and active, benefiting the situation for starting a business. The line representing oneself is static, reminding the inquirer to make thorough preparations to minimize risks.	50	51	xin
67	丢失的文件是否能找回？	0	Can the lost documents be recovered?	癸未年壬午月丁卯日	"
用神伏于世爻，显示文件尚在附近，但不易察觉。
财爻临空，显示需等待合适时机才能找回。"	反馈文件在整理办公桌时意外找到。?(六爻实战卦100例2)	The feedback document was unexpectedly found while organizing the desk. (Sixty-four Hexagrams Practical Examples 100 Cases Part 2)	The useful spirit is concealed in the line of the world, indicating the document is still nearby but not easy to detect. The wealth line is in void, suggesting that it is necessary to wait for the right opportunity to retrieve it.	48	46	ding
68	家中是否会有意外之财？	0	Will there be unexpected wealth in the household?	癸巳年甲午月乙丑日	"
财爻旺相，显示家中有机会获得意外之财。
世爻静而生用神，显示测者对此较为期待。"	反馈年末收到一笔久拖未还的债务。?(六爻实战卦100例2)	At the end of the year, a long-overdue debt was finally repaid.	The line of Wife and Wealth being prosperous indicates that there is a chance of unexpected wealth within the family. The self line is calm and generates the useful spirit, showing that the inquirer is quite hopeful about this.	14	19	yi
69	是否能成功申请贷款？	0	Can the application for a loan be successfully approved?	丙辰年壬辰月庚午日	"
财爻旺动化吉，显示贷款申请有较大成功率。
世爻静，提示测者需注意流程中的细节。"	反馈贷款顺利批复，资金按时到账。?(六爻实战卦100例2)	Feedback on loan application has been approved smoothly, and the funds have been received on time. (64 hexagrams practical examples 100 case studies 2)	The Wife and Wealth line is prosperous and active, transforming positively, indicating a high success rate for the loan application. The ruler line is still, suggesting the querent needs to pay attention to details in the process.	21	40	geng
70	是否能通过重要考试？	0	Can I pass the important exam?	甲申年癸未月庚辰日	"
子孙爻旺动，显示测者有充分的备考基础。
官鬼爻静，显示考试难度适中，只需正常发挥即可。"	反馈考试顺利通过，成绩优异。?(六爻名家卦例大收集47)	Feedback: The examination was successfully passed with excellent results.	The line representing Children is thriving and active, indicating that the inquirer has a substantial foundational preparation for the examination. The line representing Demons is still, signifying that the difficulty of the exam is moderate, and performing as usual should suffice.	13	22	geng
71	是否能顺利完成项目？	0	Can the project be successfully completed?	丙辰年乙未月甲子日	"
世爻旺动化进，显示测者对项目充满信心。
财爻旺相，显示项目资源充足，成功概率较大。"	反馈项目顺利完成，并获得客户好评。?(六爻名家卦例大收集47)	The feedback project was successfully completed and received customer praise.	The world line is flourishing and transforming into progress, indicating that the inquirer is full of confidence in the project. The financial line is prosperous and strong, showing that the project has ample resources and a higher probability of success.	42	9	jia
73	是否可以顺利参加重要会议？	0	Will it be possible to successfully attend the important meeting?	甲申年癸未月庚辰日	"
官鬼爻静，显示会议进程顺利，但细节需注意。
世爻得月扶，表示测者能在会议中有所表现。"	反馈会议顺利参与，并达成目标成果。?(六爻实战卦100例2)	Participate in feedback meetings successfully and achieve target outcomes.	The Demons line is quiet, indicating the meeting process is smooth, but details need attention. The self line receives support from the month, suggesting the querent will be able to make an impression in the meeting.	16	18	geng
74	是否能与合作方达成共识？	0	Is it possible to reach a consensus with the collaborators?	丙辰年甲子月庚午日	"
财爻旺动，显示合作方在资源上较为配合。
世爻静，提醒测者需主动协调，推动合作进展。"	反馈合作达成，但需要进一步细化协议条款。?(六爻实战卦100例2)	Feedback cooperation has been achieved, but further refinement of the agreement terms is needed. (100 examples of hexagram application in practice 2)	The line of Wealth is prosperous and active, indicating that partners are quite cooperative in terms of resources. The line of the Querent is static, reminding the diviner to take the initiative in coordination and to push for progress in cooperation.	19	33	geng
75	失联的朋友是否平安？	0	Is the missing friend safe and sound?	甲午年乙未月丁酉日	"
用神父母爻静，显示朋友可能正在休整或忙碌。
世爻得日扶，暗示消息将在稍后时间传来。"	反馈朋友平安无事，因个人原因暂未联系测者。?(六爻名家卦例大收集47)	Feedback from a friend indicates safety and no issues. Due to personal reasons, there has been no contact with the diviner.	The useful deity Parents line is static, indicating that friends may be resting or busy. The subject line is supported by the day, suggesting that news will arrive later.	45	47	ding
77	兄弟的事业发展是否顺利？	0	Is the sibling's career development going smoothly?	丙辰年乙未月甲寅日	"
官鬼爻旺动，显示兄弟的事业有上升趋势。
财爻静而化退，提醒需注意财务规划。"	反馈事业稳步发展，但需控制开支。?(六爻实战卦100例2)	Feedback indicates a steady development in your career, but expenses need to be controlled.	The Demons line is flourishing and active, indicating an upward trend in the Sibling's career. The wealth line is static and transforms to retreat, reminding one of the need to pay attention to financial planning.	37	35	jia
78	是否适合近期投资新项目？	0	Is it suitable to invest in a new project in the near future?	庚辰年甲午月庚子日	"
财爻旺动化吉，显示投资项目有较高回报潜力。
世爻静，提醒需充分调研后再行动。"	反馈投资成功，收益超出预期。?(六爻实战卦100例2)	Feedback on the investment's success, with returns exceeding expectations.	The line of wealth is flourishing and transforms auspiciously, indicating that the investment project has a high potential for returns. The principal line is static, reminding one to conduct thorough research before taking action.	14	30	geng
79	婚姻状况是否需要调整？	0	Does the marital status need adjustment?	甲午年乙未月甲戌日	"
妻财爻旺动生世，显示夫妻感情基础良好。
世爻旺相，暗示测者对婚姻满意，但需沟通协调。"	反馈夫妻关系和谐，但近期有小争执。?(六爻实战卦100例2)	Feedback indicates a harmonious marital relationship, but there have been minor disputes recently.	The Wife and Wealth line is vigorous and moving, indicating a strong foundation of marital affection. The self line is flourishing, suggesting that the querent is satisfied with the marriage, but communication and coordination are needed.	22	12	jia
80	孩子是否适合出国留学？	0	Is it suitable for my child to study abroad?	癸巳年壬辰月甲戌日	"
子孙爻旺动，显示孩子具备留学条件。
世爻化回头生，提醒测者需做好规划和心理准备。"	反馈留学计划顺利实施，适应良好。?(六爻实战卦100例2)	The implementation of the feedback study abroad program has proceeded smoothly and has been well adapted. (Sixty-four divination case study examples 100)	The Children line is active and prosperous, indicating that the child has the conditions for studying abroad. The host line transforms into a return to life, reminding the inquirer to make proper planning and mental preparation.	30	33	jia
81	父亲的财务问题是否能解决？	0	Will the father's financial problem be resolved?	乙未年丙午月乙酉日	"
财爻旺动，显示财务问题能得到缓解。
世爻旺相，提示测者需主动帮助协调。"	反馈问题逐渐缓解，债务按计划偿还。?(六爻名家卦例大收集47)	Feedback issues gradually alleviated, debt repaid as planned.	The line representing wealth is active, indicating that financial issues can be alleviated. The line representing the seeker is strong, suggesting the seeker needs to take the initiative to assist in coordination.	14	19	yi
82	近期搬家是否吉利？	0	Is it auspicious to move house in the near future?	庚辰年癸未月丁酉日	"
父母爻旺动，显示搬家时机较好。
世爻静而得日建相助，提醒测者需择良辰吉日。"	反馈搬家顺利，新环境适宜。?(六爻实战卦100例2)	Feedback indicates the house move was smooth, and the new environment is suitable. (Example 2 of Six-Line Real Combat Hexagrams)	The Parents line is prosperous and active, indicating a favorable opportunity for moving. The subject line is still but receives the assistance of the day's establishment, reminding the inquirer to choose an auspicious day and time.	18	20	ding
83	是否能成功追回欠款？	0	Will it be possible to successfully recover the owed money?	甲午年壬辰月庚寅日	"
财爻静而化进，显示追款有一定难度，但最终能成功。
世爻旺相，显示测者需坚持沟通。"	反馈欠款分期归还，结果满意。?(六爻实战卦100例2)	The feedback on the installment repayment of the debt was satisfactory.	The line representing wealth is stable and transforms into advancement, indicating that collecting debts has certain difficulties, but ultimately can succeed. The self line is strong and prosperous, indicating that the inquirer needs to persist in communication.	45	46	geng
84	是否适合近期求职？	0	Is it suitable to look for a job in the near future?	丙辰年壬午月乙酉日	"
官鬼爻旺动，显示求职机会较多，但竞争激烈。
财爻静，提示需关注长远发展。"	反馈成功找到工作，但适应期较长。?(六爻名家卦例大收集47)	Feedback indicates success in finding a job, but the adaptation period is relatively long.	"The Demons line is vigorous and active, indicating that there are many job opportunities, but the competition is fierce.  
The Wife and Wealth line is static, suggesting a need to focus on long-term development."	13	37	yi
85	是否能在未来三个月内完成目标？	0	Is it possible to achieve the goal within the next three months?	甲申年乙未月甲辰日	"
财爻旺动生世，显示目标有望实现。
世爻静，提醒测者需坚定信念。"	反馈目标顺利完成，效率较高。?(六爻实战卦100例2)	Feedback target successfully achieved, efficiency is relatively high. (100 Cases of Practical Hexagram Study 2)	The Wife and Wealth line is flourishing and moving, indicating the goal is likely to be achieved. The generational line is still, reminding the inquirer to maintain firm belief.	42	31	jia
86	今年是否适合买车？	0	Is it suitable to buy a car this year?	癸未年甲午月乙丑日	"
财爻旺动，显示购车环境较为有利。
世爻得应爻相生，显示测者对此有明确计划。"	反馈年中购车，车况和价格均满意。?(六爻实战卦100例2)	Feedback during mid-year vehicle purchase, both the condition and price of the vehicle were satisfactory.	The line of Wife and Wealth is prosperous and active, indicating that the environment for purchasing a vehicle is relatively favorable. The self line receives the mutual support of the supporting line, showing that the querent has a clear plan regarding this.	21	25	yi
87	家族企业能否顺利渡过困难期？	0	Can a family business smoothly overcome a difficult period?	癸巳年丙午月甲子日	"
财爻旺动化退，显示企业资源紧张，但有望扭转。
世爻得月扶，显示家族成员团结一致，共度难关。"	反馈困难逐渐缓解，企业稳步恢复。?(六爻名家卦例大收集47)	The difficulties in feedback gradually ease, and businesses steadily recover.	The Wife and Wealth line is vibrant and changing to retreat, indicating the company resources are tight, but there's hope for a turnaround. The self-line is supported by the moon, indicating that family members are united and working together to overcome difficulties.	50	29	jia
88	是否适合近期与朋友合伙投资？	0	Is it suitable to invest jointly with friends in the near future?	甲午年乙未月庚辰日	"
财爻旺动，显示投资项目有潜力，但需谨慎分工。
世爻旺相，显示测者对合作持积极态度。"	反馈合伙投资初期顺利，但后期因财务分配出现分歧。?(六爻实战卦100例2)	The feedback on the partnership investment was initially smooth, but later disputes arose due to financial distribution.	The Wife and Wealth line is strong and active, indicating that the investment project has potential, but care should be taken with the division of labor. The self line is strong and favorable, showing that the seeker holds a positive attitude towards cooperation.	17	22	geng
89	孩子是否适合近期参加竞赛？	0	Is the child suitable to participate in the competition in the near future?	乙未年壬辰月甲戌日	"
子孙爻旺动，显示孩子有较大竞争优势。
世爻化进神，显示测者支持孩子参加竞赛。"	反馈孩子参赛表现出色，并取得优异成绩。?(六爻名家卦例大收集47)	Feedback on the child's outstanding performance in the competition and achieving excellent results.	The line of Children is strong and active, indicating that the child has a significant competitive advantage. The transforming energy of the Self line suggests that the inquirer supports the child in participating in the competition.	31	30	jia
