id	Q_chn	Q	Time	Interp_chn	A_chn	A	Interp	Primary_id	Alter_id	Day_Stem
47	是否能顺利完成学业？	Can you successfully complete your studies?	甲申年壬辰月乙酉日	"
子孙爻旺动，显示测者的学业有扎实的基础。
官鬼爻化回头生，显示学业的关键在于坚持与努力。"	反馈学业顺利完成，并取得优异成绩。?(六爻实战卦100例2)	Feedback that students have successfully completed their studies and achieved excellent results. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The children and grandchildren are prosperous, indicating that the tester has a solid academic foundation.
The transformation of Guan Gui Yao into reincarnation shows that the key to academic studies lies in persistence and hard work."	9.0	42.0	yi
48	是否适合近期创业？	Is it suitable for starting a business in the near future?	乙未年甲午月辛巳日	"
财爻旺动生世，显示创业环境较为有利。
世爻静，提醒测者需要充分准备以降低风险。"	反馈创业成功，但初期遇到一些困难，后续逐步稳定。?(六爻实战卦100例2)	Feedback is that the business was successful, but encountered some difficulties in the early stage, and then gradually stabilized. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The prosperous wealth line indicates a more favorable environment for starting a business.
Shi Yaojing reminds testers that they need to be fully prepared to reduce risks."	50.0	51.0	xin
49	丢失的文件是否能找回？	Can lost files be recovered?	癸未年壬午月丁卯日	"
用神伏于世爻，显示文件尚在附近，但不易察觉。
财爻临空，显示需等待合适时机才能找回。"	反馈文件在整理办公桌时意外找到。?(六爻实战卦100例2)	The feedback file was accidentally found while organizing my desk. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Use the god to hide in the world, indicating that the document is still nearby, but it is not easy to detect.
The money line is in the air, indicating that you need to wait for the right time to retrieve it."	48.0	46.0	ding
50	家中是否会有意外之财？	Will there be an unexpected fortune at home?	癸巳年甲午月乙丑日	"
财爻旺相，显示家中有机会获得意外之财。
世爻静而生用神，显示测者对此较为期待。"	反馈年末收到一笔久拖未还的债务。?(六爻实战卦100例2)	Feedback: I received a long-overdue debt at the end of the year. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous wealth sign indicates that the family has the opportunity to receive unexpected wealth.
The world is quiet and the spirit is born, which shows that the tester is looking forward to it."	14.0	19.0	yi
51	是否能成功申请贷款？	Can I successfully apply for a loan?	丙辰年壬辰月庚午日	"
财爻旺动化吉，显示贷款申请有较大成功率。
世爻静，提示测者需注意流程中的细节。"	反馈贷款顺利批复，资金按时到账。?(六爻实战卦100例2)	Feedback: The loan was approved smoothly and the funds were received on time. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If the money is prosperous, it will turn into good luck, indicating that the loan application has a higher success rate.
Shi Yaojing reminds testers to pay attention to the details in the process."	21.0	40.0	geng
52	是否能通过重要考试？	Can you pass the important exam?	甲申年癸未月庚辰日	"
子孙爻旺动，显示测者有充分的备考基础。
官鬼爻静，显示考试难度适中，只需正常发挥即可。"	反馈考试顺利通过，成绩优异。?(六爻名家卦例大收集47)	Feedback: The exam was successfully passed with excellent results. ?(A large collection of six-line hexagrams from famous masters, 47)	"The children and grandchildren are prosperous, indicating that the test taker has sufficient preparation foundation.
The demons is quiet, indicating that the difficulty of the exam is moderate, and you only need to perform normally."	13.0	22.0	geng
53	是否能顺利完成项目？	Can the project be successfully completed?	丙辰年乙未月甲子日	"
世爻旺动化进，显示测者对项目充满信心。
财爻旺相，显示项目资源充足，成功概率较大。"	反馈项目顺利完成，并获得客户好评。?(六爻名家卦例大收集47)	The feedback project was successfully completed and received high praise from customers. ?(A large collection of six-line hexagrams from famous masters, 47)	"The dynamic progress of the world shows that the testers have full confidence in the project.
The wealth element is prosperous, indicating that the project resources are sufficient and the probability of success is high."	42.0	9.0	jia
54	母亲身体健康是否会有问题？	Will there be any problems with the mother's health?	癸未年乙巳月丁亥日	"
父母爻临旺动化回头生，显示健康情况大体稳定。
世爻化退，暗示需关注母亲的身体变化并适时体检。"	反馈母亲偶有小病，但无大碍。?(六爻实战卦100例2)	Feedback that my mother occasionally has minor illnesses, but nothing serious. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If the parents' Yao Lin is prosperous and they are reborn, it shows that their health is generally stable.
Shi Yao fades away, suggesting the need to pay attention to the mother's physical changes and conduct timely physical examinations."	25.0	29.0	ding
55	是否可以顺利参加重要会议？	Can you successfully attend important meetings?	甲申年癸未月庚辰日	"
官鬼爻静，显示会议进程顺利，但细节需注意。
世爻得月扶，表示测者能在会议中有所表现。"	反馈会议顺利参与，并达成目标成果。?(六爻实战卦100例2)	The feedback meeting was successfully attended and the target results were achieved. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The quietness of the demons indicates that the meeting is going smoothly, but the details need to be paid attention to.
If Shi Yao is supported by the moon, it means that the tester can perform well in meetings."	16.0	18.0	geng
56	是否能与合作方达成共识？	Can a consensus be reached with partners?	丙辰年甲子月庚午日	"
财爻旺动，显示合作方在资源上较为配合。
世爻静，提醒测者需主动协调，推动合作进展。"	反馈合作达成，但需要进一步细化协议条款。?(六爻实战卦100例2)	Feedback cooperation is reached, but the terms of the agreement need to be further refined. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that the partners are more cooperative in terms of resources.
Shi Yaojing reminds test takers to take the initiative to coordinate and promote the progress of cooperation."	19.0	33.0	geng
57	失联的朋友是否平安？	Is the lost friend safe?	甲午年乙未月丁酉日	"
用神父母爻静，显示朋友可能正在休整或忙碌。
世爻得日扶，暗示消息将在稍后时间传来。"	反馈朋友平安无事，因个人原因暂未联系测者。?(六爻名家卦例大收集47)	Feedback from friends is that everything is safe and the tester has not been contacted yet due to personal reasons. ?(A large collection of six-line hexagrams from famous masters, 47)	"Use ""God's parents"" and ""quiet"" to show that your friend may be resting or busy.
Shi Yao gets support from the sun, suggesting that news will come later."	45.0	47.0	ding
58	是否能在年底实现理财目标？	Will you be able to achieve your financial goals by the end of the year?	癸巳年甲午月丁卯日	"
财爻旺动，显示理财环境较好，目标有望实现。
世爻旺而生财，表示测者对理财较有信心。"	反馈目标完成，但过程中遇到小波动。?(六爻实战卦100例2)	The feedback goal is achieved, but small fluctuations are encountered in the process. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial line is prosperous, indicating that the financial management environment is good and the goals are expected to be achieved.
If the world is prosperous and generates wealth, it means that the tester is more confident in financial management."	31.0	50.0	ding
59	兄弟的事业发展是否顺利？	Is the brother's career developing smoothly?	丙辰年乙未月甲寅日	"
官鬼爻旺动，显示兄弟的事业有上升趋势。
财爻静而化退，提醒需注意财务规划。"	反馈事业稳步发展，但需控制开支。?(六爻实战卦100例2)	Feedback Business is developing steadily, but expenses need to be controlled. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official and ghost lines are prosperous, indicating that the brother's career is on the rise.
The money line disappears quietly, reminding you to pay attention to financial planning."	37.0	35.0	jia
60	是否适合近期投资新项目？	Is it suitable for investing in new projects in the near future?	庚辰年甲午月庚子日	"
财爻旺动化吉，显示投资项目有较高回报潜力。
世爻静，提醒需充分调研后再行动。"	反馈投资成功，收益超出预期。?(六爻实战卦100例2)	Feedback: The investment was successful and the income exceeded expectations. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line turns into good luck, indicating that investment projects have high return potential.
Shi Yaojing reminds you that you need to conduct thorough research before taking any action."	14.0	30.0	geng
61	婚姻状况是否需要调整？	Does your marital status need to be adjusted?	甲午年乙未月甲戌日	"
妻财爻旺动生世，显示夫妻感情基础良好。
世爻旺相，暗示测者对婚姻满意，但需沟通协调。"	反馈夫妻关系和谐，但近期有小争执。?(六爻实战卦100例2)	Feedback: The relationship between husband and wife is harmonious, but there have been minor disputes recently. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wife's wealth will be prosperous throughout her life, which shows that the relationship between the couple has a good foundation.
The prosperous appearance of Shi Yao implies that the person is satisfied with the marriage, but communication and coordination are needed."	22.0	12.0	jia
62	孩子是否适合出国留学？	Is it suitable for my child to study abroad?	癸巳年壬辰月甲戌日	"
子孙爻旺动，显示孩子具备留学条件。
世爻化回头生，提醒测者需做好规划和心理准备。"	反馈留学计划顺利实施，适应良好。?(六爻实战卦100例2)	Feedback: The study abroad plan was implemented smoothly and the students adapted well. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If the children and grandchildren are prosperous, it shows that the child has the conditions to study abroad.
The world will turn around and be reincarnated, reminding test takers to plan and be mentally prepared."	30.0	33.0	jia
63	父亲的财务问题是否能解决？	Can father's financial problems be solved?	乙未年丙午月乙酉日	"
财爻旺动，显示财务问题能得到缓解。
世爻旺相，提示测者需主动帮助协调。"	反馈问题逐渐缓解，债务按计划偿还。?(六爻名家卦例大收集47)	Feedback issues gradually eased and debts were repaid as planned. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money line is prosperous, indicating that financial problems can be alleviated.
The prosperous appearance of Shiyao reminds the person to take the initiative to help and coordinate."	14.0	19.0	yi
64	近期搬家是否吉利？	Is it auspicious to move recently?	庚辰年癸未月丁酉日	"
父母爻旺动，显示搬家时机较好。
世爻静而得日建相助，提醒测者需择良辰吉日。"	反馈搬家顺利，新环境适宜。?(六爻实战卦100例2)	Feedback: The move went smoothly and the new environment is suitable. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If the parents' lines are vigorous, it indicates that it is a good time to move.
The world is quiet and Japan can help, reminding the tester to choose a good time and auspicious day."	18.0	20.0	ding
65	是否能成功追回欠款？	Can the debt be recovered successfully?	甲午年壬辰月庚寅日	"
财爻静而化进，显示追款有一定难度，但最终能成功。
世爻旺相，显示测者需坚持沟通。"	反馈欠款分期归还，结果满意。?(六爻实战卦100例2)	The feedback was that the debt was repaid in installments and the result was satisfactory. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is quiet and evolving, indicating that it is difficult to recover money, but it will be successful in the end.
The prosperous phase of the world shows that the tester needs to maintain communication."	45.0	46.0	geng
66	是否适合近期求职？	Is it suitable for job hunting in the near future?	丙辰年壬午月乙酉日	"
官鬼爻旺动，显示求职机会较多，但竞争激烈。
财爻静，提示需关注长远发展。"	反馈成功找到工作，但适应期较长。?(六爻名家卦例大收集47)	Feedback: Successfully found a job, but the adaptation period is long. ?(A large collection of six-line hexagrams from famous masters, 47)	"The official and ghost lines are active, indicating that there are many job opportunities, but the competition is fierce.
Cai Yao is quiet, suggesting the need to pay attention to long-term development."	13.0	37.0	yi
67	是否能在未来三个月内完成目标？	Can the goal be achieved within the next three months?	甲申年乙未月甲辰日	"
财爻旺动生世，显示目标有望实现。
世爻静，提醒测者需坚定信念。"	反馈目标顺利完成，效率较高。?(六爻实战卦100例2)	The feedback goal was successfully completed and the efficiency was high. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Prosperous wealth brings prosperity to your life, indicating that your goals are expected to be achieved.
The world is quiet, reminding testers that they need to have firm faith."	42.0	31.0	jia
68	今年是否适合买车？	Is this a good year to buy a car?	癸未年甲午月乙丑日	"
财爻旺动，显示购车环境较为有利。
世爻得应爻相生，显示测者对此有明确计划。"	反馈年中购车，车况和价格均满意。?(六爻实战卦100例2)	Feedback: I purchased the car in the middle of the year and was satisfied with the condition and price. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that the car buying environment is more favorable.
The world's Yao and the corresponding Yao are mutually reinforcing, indicating that the tester has a clear plan for this."	21.0	25.0	yi
69	家族企业能否顺利渡过困难期？	Can family businesses survive difficult times?	癸巳年丙午月甲子日	"
财爻旺动化退，显示企业资源紧张，但有望扭转。
世爻得月扶，显示家族成员团结一致，共度难关。"	反馈困难逐渐缓解，企业稳步恢复。?(六爻名家卦例大收集47)	Feedback difficulties gradually eased and the business recovered steadily. ?(A large collection of six-line hexagrams from famous masters, 47)	"The financial boom has subsided, indicating that corporate resources are tight, but it is expected to be reversed.
Shi Yao is supported by the moon, which shows that family members are united to overcome difficulties."	50.0	29.0	jia
70	是否适合近期与朋友合伙投资？	Is it suitable to invest in partnership with friends in the near future?	甲午年乙未月庚辰日	"
财爻旺动，显示投资项目有潜力，但需谨慎分工。
世爻旺相，显示测者对合作持积极态度。"	反馈合伙投资初期顺利，但后期因财务分配出现分歧。?(六爻实战卦100例2)	Feedback: The partnership investment went smoothly initially, but later there were disagreements over financial allocation. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is booming, indicating that investment projects have potential, but careful division of labor is required.
The prosperous phase of the world shows that the tester has a positive attitude towards cooperation."	17.0	22.0	geng
71	孩子是否适合近期参加竞赛？	Is the child suitable to participate in competitions in the near future?	乙未年壬辰月甲戌日	"
子孙爻旺动，显示孩子有较大竞争优势。
世爻化进神，显示测者支持孩子参加竞赛。"	反馈孩子参赛表现出色，并取得优异成绩。?(六爻名家卦例大收集47)	Feedback that the children performed well in the competition and achieved excellent results. ?(A large collection of six-line hexagrams from famous masters, 47)	"The children and grandchildren are prosperous, which shows that the children have a greater competitive advantage.
Shi Yao transforms into a god, showing that the tester supports the child's participation in the competition."	31.0	30.0	jia
72	是否能追回丢失的贵重物品？	Is it possible to recover lost valuables?	癸未年甲午月乙丑日	"
用神父母爻静，显示物品仍在安全处。
财爻旺动，表示找回物品有望。"	反馈物品被邻居拾获归还，无重大损失。?(六爻实战卦100例2)	Feedback: The items were picked up and returned by neighbors without any major damage. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Use the words ""God's parents"" to show that the items are still in a safe place.
The money line is prosperous, indicating that there is hope for retrieving the items."	48.0	25.0	yi
73	是否适合近期换房？	Is it suitable for house change in the near future?	癸巳年丙午月丁酉日	"
父母爻旺动，显示房屋选择较多，机会良好。
财爻旺相，提示测者可顺势行动。"	反馈换房顺利，价格和房源都符合预期。?(六爻名家卦例大收集47)	Feedback: The room change went smoothly, and the price and availability were in line with expectations. ?(A large collection of six-line hexagrams from famous masters, 47)	"The parents' lines are prosperous, indicating that there are more housing options and good opportunities.
The prosperous wealth line indicates that the tester can take action according to the trend."	14.0	37.0	ding
74	远方的亲戚是否健康平安？	Are distant relatives healthy and safe?	甲申年乙未月庚寅日	"
用神父母爻旺动，显示亲戚身体状况大体良好。
世爻旺相，暗示测者对此较为关心。"	反馈亲戚健康良好，并与测者保持联系。?(六爻实战卦100例2)	Feedback that relatives are in good health and keep in touch with the test taker. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Use the divine parent line to move vigorously, indicating that the relative's physical condition is generally good.
The prosperous appearance of Shi Yao implies that the tester is more concerned about this."	45.0	42.0	geng
75	是否适合近期购置大件家电？	Is it suitable for purchasing large home appliances in the near future?	丙辰年壬午月丁亥日	"
财爻旺动化吉，显示家电购置时机良好。
世爻静，提醒测者需根据预算合理选择。"	反馈购置顺利，产品质量和价格均满意。?(六爻实战卦100例2)	Feedback: The purchase went smoothly and the product quality and price were satisfactory. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line turns into auspiciousness, indicating that it is a good time to purchase home appliances.
Shi Yaojing reminds testers to make reasonable choices based on their budget."	40.0	46.0	ding
76	朋友是否会按时归还借款？	Will the friend repay the loan on time?	癸未年甲午月乙卯日	"
财爻静，显示朋友有还款意愿，但进程稍缓。
世爻旺相，提示测者需主动沟通协调。"	反馈借款按期归还，双方关系无损。?(六爻实战卦100例2)	Feedback: The loan was repaid on time and the relationship between the two parties was not damaged. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is quiet, indicating that your friend is willing to repay, but the process is a little slow.
The prosperous aspect of the world reminds the tester that he needs to take the initiative to communicate and coordinate."	19.0	33.0	yi
77	是否能顺利开展新业务？	Can you successfully launch new business?	癸巳年甲午月乙亥日	"
财爻旺动，显示新业务有潜力。
世爻得应爻生扶，显示测者有能力推动业务进展。"	反馈业务初期平稳，后续逐步扩大规模。?(六爻名家卦例大收集47)	Feedback indicates that the business was stable in the initial stage and will gradually expand in scale in the future. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money line is prosperous, indicating the potential of new business.
Shi Yao is supported by Ying Yao, which shows that the tester has the ability to promote business progress."	25.0	21.0	yi
78	近期是否适合购入商铺？	Is it suitable to purchase a shop in the near future?	癸巳年乙未月甲申日	"
财爻旺动，显示商铺市场稳定，时机较佳。
世爻静，提示测者需仔细评估价格和地段。"	反馈购入商铺后租赁顺利，收益稳定。?(六爻实战卦100例2)	Feedback: After purchasing the shop, the leasing went smoothly and the income was stable. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial line is prosperous, indicating that the retail market is stable and the timing is good.
Shi Yaojing reminds buyers to carefully evaluate the price and location."	50.0	48.0	jia
79	是否能找到丢失的手表？	Can you find your lost watch?	甲午年癸未月乙卯日	"
用神伏于世爻，表示物品可能隐藏在熟悉的地方。
财爻化退，显示找回手表可能需要耐心。"	反馈手表最终在车内找到，无损失。?(六爻实战卦100例2)	The feedback watch was eventually found in the car without loss. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Using the god to loom over the world means that the item may be hidden in a familiar place.
The loss of wealth indicates that it may take patience to get the watch back."	23.0	22.0	yi
80	是否能成功出售手中房产？	Can you successfully sell your property?	乙未年丙午月丁酉日	"
财爻旺动，显示出售房产的市场环境较好。
世爻静而化退，提示可能需要降价吸引买家。"	反馈房产成功出售，但价格略低于预期。?(六爻名家卦例大收集47)	Feedback The property sold successfully, but the price was slightly lower than expected. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money line is prosperous, indicating that the market environment for selling real estate is better.
The situation faded away quietly, suggesting that prices may need to be lowered to attract buyers."	14.0	19.0	ding
81	公司是否能顺利签订大客户合同？	Can the company successfully sign major customer contracts?	丙辰年甲子月庚午日	"
财爻旺动，显示客户资源有利。
世爻旺相，表示测者积极推动合同进展。"	反馈合同顺利签订，为公司带来可观利润。?(六爻实战卦100例2)	Feedback The contract was successfully signed, bringing considerable profits to the company. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wealth line is prosperous, indicating that customer resources are favorable.
The prosperous aspect of Shi Yao means that the tester actively promotes the progress of the contract."	42.0	9.0	geng
82	母亲健康状况是否需要特别注意？	Does the mother’s health require special attention?	癸未年甲午月乙亥日	"
父母爻旺动，显示健康基础尚可，但需注意日常调养。
世爻旺相，显示测者较为关心母亲情况。"	反馈母亲因轻微高血压就诊后恢复良好。?(六爻实战卦100例2)	Feedback was given that the mother recovered well after being treated for mild hypertension. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents' Yao is vigorous and active, indicating that their health foundation is acceptable, but they need to pay attention to daily maintenance.
The prosperous phase of life shows that the person is more concerned about his mother's condition."	45.0	46.0	yi
83	是否适合近期参加重要比赛？	Is it suitable to participate in important competitions in the near future?	甲申年乙未月庚辰日	"
子孙爻旺动，显示参赛者状态良好，具备竞争力。
财爻静，表示比赛虽重要，但不宜过度追求结果。"	反馈参赛表现稳定，但未获奖项。?(六爻实战卦100例2)	Feedback: The performance in the competition was stable, but no awards were awarded. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The descendants are vigorously moving, indicating that the contestants are in good condition and competitive.
Cai Yaojing said that although competition is important, it is not advisable to pursue results excessively."	13.0	18.0	geng
84	孩子是否能通过留学申请？	Can my child apply to study abroad?	癸巳年甲午月丁卯日	"
子孙爻旺动，显示申请条件充分。
世爻静，提示测者需关注申请中的细节。"	反馈留学申请成功，学校录取通知顺利到达。?(六爻名家卦例大收集47)	Feedback: The application for studying abroad was successful and the school admission notice arrived successfully. ?(A large collection of six-line hexagrams from famous masters, 47)	"The children and grandchildren are prosperous, indicating that the application conditions are sufficient.
Shi Yaojing reminds test takers to pay attention to the details in the application."	25.0	40.0	ding
85	近期是否适合做高风险投资？	Is it suitable to make high-risk investments in the near future?	甲午年丙辰月庚寅日	"
财爻旺动化进，显示投资机会较好。
世爻化退，提示测者需谨慎操作，不宜贪大求快。"	反馈部分投资成功，但风险收益不成比例，决定降低风险偏好。?(六爻实战卦100例2)	Feedback was that some investments were successful, but the risks and returns were disproportionate, so we decided to lower our risk appetite. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous and dynamic, indicating good investment opportunities.
The world is changing, reminding testers that they need to operate with caution, and should not be greedy for big things and seek quick results."	14.0	13.0	geng
86	孩子的学业是否能顺利进步？	Can the child's studies progress smoothly?	癸巳年壬辰月甲申日	"
子孙爻旺动，显示孩子学习基础良好，进步可期。
官鬼爻化吉，显示学习中得到贵人相助或启发。"	反馈成绩提升显著，家长和老师均感满意。?(六爻实战卦100例2)	Feedback shows that the performance has improved significantly, and both parents and teachers are satisfied. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The children and grandchildren are prosperous, indicating that the child has a good learning foundation and can expect progress.
The demons line turns into auspiciousness, indicating that you have received help or inspiration from noble people in your studies."	42.0	50.0	jia
87	朋友借款是否能按时归还？	Can a friend's loan be repaid on time?	乙未年丙午月丁亥日	"
财爻静而化进，显示朋友有还款意愿。
世爻旺动，提示测者需主动提醒。"	反馈借款按时归还，无纠纷。?(六爻名家卦例大收集47)	Feedback: The loan was repaid on time without any disputes. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money lines are quiet and evolving, showing that the friend is willing to repay.
The world is booming, suggesting that test takers need to take the initiative to remind them."	19.0	9.0	ding
88	是否能顺利购入心仪的房产？	Can you successfully purchase the property of your choice?	癸未年甲午月乙亥日	"
父母爻旺动，显示房源条件理想。
世爻静，提醒测者需抓紧时机，避免错失机会。"	反馈房产成功购入，后续装修顺利。?(六爻实战卦100例2)	Feedback: The property was purchased successfully and the subsequent renovation went smoothly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents are active, indicating that the condition of the house is ideal.
Shi Yaojing reminds test takers to seize the opportunity to avoid missing opportunities."	18.0	45.0	yi
89	是否适合近期旅行？	Is it suitable for recent travel?	甲申年乙未月庚辰日	"
子孙爻旺动，显示旅行时机较好，心情愉悦。
世爻旺相，提示需做好规划以确保顺利。"	反馈旅行顺利，体验愉快。?(六爻实战卦100例2)	Feedback: The trip went smoothly and the experience was pleasant. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If the children and grandchildren move vigorously, it means that the time for travel is good and the mood is good.
The prosperous phase of the world reminds you that you need to plan well to ensure success."	30.0	31.0	geng
90	是否能成功应对公司突发问题？	Can you successfully deal with unexpected company problems?	丙辰年壬午月甲寅日	"
官鬼爻旺动，显示问题虽复杂，但有能力解决。
世爻旺相，提示测者需保持冷静，逐步处理。"	反馈问题成功解决，公司恢复正常运营。?(六爻名家卦例大收集47)	The feedback issue was successfully resolved and the company resumed normal operations. ?(A large collection of six-line hexagrams from famous masters, 47)	"The demons line is vigorously moving, indicating that although the problem is complicated, it is capable of being solved.
The prosperous aspect of the world reminds the tester to stay calm and deal with it step by step."	9.0	21.0	jia
91	亲戚是否会按时到访？	Will relatives arrive on time?	癸未年乙未月庚寅日	"
父母爻旺动，显示亲戚有意按时到访，但可能因小事稍有耽搁。
世爻静而得日扶，表示测者对此无需担忧。"	反馈亲戚按计划到访，无明显延误。?(六爻实战卦100例2)	Feedback is that relatives arrived as planned and there was no significant delay. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents' lines are vigorous, indicating that relatives intend to visit on time, but may be slightly delayed due to trivial matters.
If the world is peaceful and the day is supported, it means that the tester does not need to worry about it."	25.0	22.0	geng
92	是否能成功处理家庭矛盾？	Can family conflicts be successfully handled?	乙未年甲午月乙亥日	"
兄弟爻旺动，显示家庭成员之间沟通良好。
世爻旺相，提示测者在化解矛盾中起关键作用。"	反馈矛盾逐步解决，家庭气氛和睦。?(六爻名家卦例大收集47)	Feedback: Conflicts are gradually resolved and the family atmosphere is harmonious. ?(A large collection of six-line hexagrams from famous masters, 47)	"The prosperous movement of brother lines indicates good communication among family members.
The prosperous aspect of Shi Yao reminds the person to play a key role in resolving conflicts."	37.0	33.0	yi
93	公司财务状况是否能改善？	Can the company's financial situation improve?	甲午年乙未月庚寅日	"
财爻旺动，显示财务压力可逐步缓解。
世爻化吉，提示公司需优化成本管理。"	反馈财务状况在第三季度显著改善，盈利逐渐恢复。?(六爻实战卦100例2)	Feedback: Financial conditions improved significantly in the third quarter, with profits gradually recovering. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that financial pressure can be gradually alleviated.
Shi Yao turns into auspiciousness, reminding the company to optimize cost management."	42.0	41.0	geng
94	能否顺利完成团队新任务？	Can the team successfully complete the new task?	丙辰年乙未月甲子日	"
财爻旺动，显示团队资源充足，计划推进顺利。
世爻静，提示需加强内部沟通与协作。"	反馈任务按时完成，客户满意度高。?(六爻名家卦例大收集47)	Feedback tasks are completed on time and customer satisfaction is high. ?(A large collection of six-line hexagrams from famous masters, 47)	"The financial line is prosperous, indicating that the team has sufficient resources and the plan is progressing smoothly.
Shi Yaojing reminds us of the need to strengthen internal communication and collaboration."	31.0	40.0	jia
95	是否适合扩展公司业务？	Is it suitable for expanding the company's business?	癸巳年甲午月乙亥日	"
财爻旺动化吉，显示扩展业务的市场环境较好。
世爻得月扶，提示测者需关注核心资源整合。"	反馈业务扩展后业绩增长显著。?(六爻实战卦100例2)	Feedback shows significant growth in performance after business expansion. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line turns into auspiciousness, indicating a good market environment for business expansion.
Shi Yao is supported by the moon, which reminds testers to pay attention to the integration of core resources."	50.0	45.0	yi
96	是否能顺利找到合适的合作伙伴？	Can you successfully find the right partner?	乙未年丙午月庚辰日	"
官鬼爻旺动，显示合作伙伴资质优秀。
世爻静，提示测者需耐心沟通，达成共识。"	反馈最终找到合作伙伴，合作关系稳定。?(六爻名家卦例大收集47)	Feedback eventually found a partner and the relationship was stable. ?(A large collection of six-line hexagrams from famous masters, 47)	"The demons line is in full swing, indicating that the partner has excellent qualifications.
Shi Yao Jing reminds testers that they need to communicate patiently and reach a consensus."	9.0	22.0	geng
97	亲戚是否能及时提供资金支持？	Can relatives provide timely financial support?	癸未年甲午月丁酉日	"
财爻旺动，显示亲戚有能力提供支持。
世爻化退，表示资金可能需要较长时间筹措。"	反馈资金于第二月到账，解决燃眉之急。?(六爻实战卦100例2)	The feedback funds arrived in the second month to solve the urgent need. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line shows that relatives have the ability to provide support.
Shi Yao retreats, indicating that funds may take a longer time to raise."	25.0	18.0	ding
98	是否适合在今年升级设备？	Is this the right year to upgrade your equipment?	甲午年乙未月庚寅日	"
父母爻旺动，显示设备升级有助于生产效率提升。
世爻静，提示测者需谨慎评估升级成本。"	反馈设备升级后运行良好，显著提升产能。?(六爻名家卦例大收集47)	Feedback is that the equipment is running well after the upgrade and production capacity is significantly improved. ?(A large collection of six-line hexagrams from famous masters, 47)	"Parents are busy, and the upgrade of display equipment will help improve production efficiency.
Shi Yaojing reminds testers to carefully evaluate the cost of upgrades."	40.0	33.0	geng
99	是否能顺利与对方签署协议？	Can you successfully sign an agreement with the other party?	丙辰年壬午月庚寅日	"
财爻旺动，显示协议内容对双方有利。
世爻得日扶，提示测者需提前准备关键条款。"	反馈协议成功签署，后续合作顺利开展。?(六爻实战卦100例2)	The feedback agreement was successfully signed and subsequent cooperation was carried out smoothly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that the content of the agreement is beneficial to both parties.
Shiyao is supported by Japan, reminding testers to prepare key terms in advance."	31.0	30.0	geng
